Pokemon,VGCusage2022,VGCusage2023,VGCusage2024
miltank,0.0,,
mesprit,0.0,0.06297,0.0014
magmortar,0.0,,0.04367
golurk,0.0,,0.01272
hitmonchan,0.0,,0.00134
mr.-mime,0.00047,,
feebas,0.0,0.0,0.0
cramorant,0.00025,0.01964,0.07541
snom,0.0,0.0,0.0
hitmonlee,0.0,,0.00557
porygon,0.0,,0.0
metapod,0.0,,
druddigon,0.0,,
zygarde-10%,0.00034,,
grapploct,0.00034,,
absol,0.0,,
aurorus,0.0,,
carracosta,0.00032,,
cinccino,0.00031,,0.01714
gourgeist-super,0.00031,,
sandslash-alola,0.0003,0.1416,0.00712
skrelp,0.0,0.0,0.0
morgrem,0.0,0.0,0.0
musharna,8e-05,,
rowlet,0.0,0.0,0.0
wishiwashi,0.0,,
haunter,0.0,0.0,1e-05
throh,0.0,,
sharpedo,0.0,,
slowking,0.00019,0.08981,0.09133
skarmory,0.00017,,0.00795
vileplume,0.0,,0.00475
remoraid,0.0,,
bewear,0.00015,,
drizzile,0.0,0.0,0.0
magmar,0.0,,0.43853
copperajah,0.00014,0.0,0.0029
stunfisk,0.0,,
lanturn,0.0,,0.00762
fletchling,0.0,1e-05,0.0
herdier,0.0,,
charmeleon,0.0,0.0,0.0
necrozma,0.0,,0.00054
kyurem,8e-05,,0.00046
calyrex,0.0,,0.00028
walrein,0.0,,
rotom-fan,0.0,0.00023,1e-05
dottler,0.0,,
bouffalant,6e-05,,
impidimp,0.0,0.0,0.0
munchlax,0.0,0.00032,0.00059
grookey,0.0,0.0,0.0
claydol,5e-05,,
magneton,0.0,0.00409,0.00042
ponyta-galar,0.0,,
ralts,0.0,0.0,0.0
charmander,0.0,0.0,0.0
heracross,3e-05,0.00242,0.00765
wobbuffet,1e-05,,
lycanroc-midnight,0.0,0.01347,0.0005
tyrantrum,0.0,,
magikarp,0.0,0.0,0.0
aron,0.0,,
lombre,0.0,0.0,0.0
slowpoke-galar,0.0,2e-05,0.0
azurill,0.0,0.0,0.0
tyrogue,0.0,,0.0
whiscash,0.0,0.0,6e-05
solrock,0.0,,
klang,0.0,,
gloom,0.0,,0.00022
happiny,0.0,0.0,0.0
snorunt,0.0,0.0,0.0
sandslash,0.0,0.00383,0.0
solosis,0.0,,0.0
mawile,0.0,,
duskull,0.0,0.0,0.0
squirtle,0.0,,0.0
bulbasaur,0.0,,0.0
frillish,0.0,,
dunsparce,1e-05,0.00135,4e-05
barbaracle,0.0,,
mudkip,0.0,,0.0
anorith,0.0,,
diglett,0.0,0.0,0.0
pichu,0.0,0.0,0.0
magnemite,0.0,0.0,0.0
combee,0.0,0.0,0.0
rotom,0.0,0.0,0.0
onix,0.0,,
thwackey,0.0,0.0,0.0
duosion,0.0,,0.0
wailord,0.0,,
eevee,0.0,0.0,0.0
xatu,0.0,,
zigzagoon,0.0,,
swirlix,0.0,,
glalie,0.0,0.0183,0.00014
persian,0.0,0.01124,0.00063
woobat,0.0,,
mantyke,0.0,,
hippopotas,0.0,0.0,0.0
linoone-galar,0.0,,
corsola,0.0,,
oddish,0.0,,0.0
gurdurr,0.0,1e-05,0.0
psyduck,0.0,0.0,1e-05
wartortle,0.0,,0.00017
foongus,0.0,0.0,0.00013
ferroseed,0.0,,
